DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/09/2016,17:45,,,,,,,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,,,3620826,,,,,
06/09/2016,7:40,QUEENS,11378,40.723183,-73.90059,"(40.723183, -73.90059)",GRAND AVENUE                    ,65 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3688357,PASSENGER VEHICLE,,,,
06/09/2016,1:00,,,,,,LAFAYETTE STREET                ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458250,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,7:30,,,,,,2 AVENUE                        ,                                ,                                        ,1,0,1,0,0,0,0,0,Unspecified,,,,,3458277,OTHER,,,,
06/09/2016,9:21,,,,,,WEST 64 STREET                  ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458377,OTHER,,,,
06/09/2016,6:40,,,,,,2 AVENUE                        ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458386,PASSENGER VEHICLE,,,,
06/09/2016,8:50,,,,,,WEST 127 STREET                 ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458402,PASSENGER VEHICLE,MOTORCYCLE,,,
06/09/2016,9:00,,,,,,UNIVERSITY AVENUE               ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,,3458530,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/09/2016,8:45,,,,,,EAST GUN HILL ROAD              ,EASTCHESTER ROAD                ,                                        ,1,0,1,0,0,0,0,0,Unspecified,,,,,3458501,PASSENGER VEHICLE,,,,
06/09/2016,14:57,,,,,,EAST GUN HILL ROAD              ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458502,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,15:06,BRONX,10457,,,,EAST TREMONT AVENUE             ,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458510,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,11:22,,,,,,STERLING PLACE                  ,                                ,                                        ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3458627,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES) ,,,
06/09/2016,1:20,,,,,,NASSAU AVENUE                   ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458691,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,9:00,,,,,,                                ,                                ,103 STREET                              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458708,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,0:30,,,,,,CROSS ISLAND PARKWAY            ,14 AVENUE                       ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458834,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,0:00,,,,,,                                ,                                ,                                        ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,3458772,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/09/2016,0:57,,,,,,ROOSEVELT AVENUE                ,COLLEGE POINT BOULEVARD         ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458835,PASSENGER VEHICLE,,,,
06/09/2016,12:35,,,,,,41 AVENUE                       ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458843,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,9:00,,,,,,JEWEL AVENUE                    ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458885,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,11:30,QUEENS,11433,,,,BREWER BOULEVARD                ,111 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458894,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,0:00,,,,,,49 STREET                       ,ASTORIA BOULEVARD               ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3458907,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,7:55,,,,,,VANPELT AVENUE                  ,NETHERLAND AVENUE               ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458943,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,8:58,,,,,,                                ,                                ,190 FAHY AVENUE                         ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458944,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,8:40,,,,,,VICTORY BOULEVARD               ,BYRNE AVENUE                    ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3458945,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,10:18,,,,,,                                ,                                ,340 HEBERTON AVENUE                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458946,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,11:30,,,,,,                                ,                                ,2883 RICHMOND AVENUE                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458947,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,11:49,,,,,,                                ,                                ,2071 VICTORY BOULEVARD                  ,0,0,0,0,0,0,0,0,Unspecified,,,,,3458948,PASSENGER VEHICLE,,,,
06/09/2016,11:30,,,,,,FOREST HILL ROAD                ,HAROLD STREET                   ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458949,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,0:00,,,,,,                                ,                                ,2944 VICTORY BOULEVARD                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458950,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,12:30,,,,,,ELDRIDGE STREET                 ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458971,SMALL COM VEH(4 TIRES) ,SMALL COM VEH(4 TIRES) ,,,
06/09/2016,13:35,,,,,,BROADWAY                        ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458972,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,15:50,,,,,,CANAL STREET                    ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458974,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,15:49,,,,,,EAST HOUSTON STREET             ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458975,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,19:45,,,,,,MANHATTAN BRIDGE                ,NASSAU STREET                   ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3458976,PASSENGER VEHICLE,MOTORCYCLE,,,
06/09/2016,20:09,,,,,,BOWERY                          ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3458977,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,12:35,,,,,,EAST 30 STREET                  ,                                ,                                        ,1,0,1,0,0,0,0,0,Unspecified,,,,,3459020,VAN,,,,
06/09/2016,23:15,,,,,,EAST 57 STREET                  ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459023,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,19:30,,,,,,                                ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459028,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,12:00,,,,,,2 AVENUE                        ,C/O EAST 53 STREET              ,                                        ,3,0,0,0,0,0,3,0,Unspecified,Unspecified,Unspecified,,,3459029,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
